code,description_en,description_uk,parent_code
3MPBL-IT-U,1946–1968 (post Second World War period and Foundation of Italian Republic),1946–1968 рр. (період після Другої світової війни та заснування Італійської Республіки),3MPBL
3MPB-AR-B,1916–1930 (period of the Saenz Peña Law and First democratic governments in Argentina),1916–1930 рр. (період дії закону Саєнц Пенья та перших демократичних урядів в Аргентині),3MPB
3MPB-ES-A,c 1900 to c 1931 (period of the end of Spanish Monarchy),з 1900 до 1931 рр. (період кінця Іспанської монархії),3MPB
3MPB-FI-A,1899–1917 (period of Russification of Finland),1899–1917 рр. (період русифікації Фінляндії),3MPB
3MPB-IT-R,1900–1914 (Italian Giolittian period),1900–1914 рр. (італійський період Джоліттіана),3MPB
3MPB-JP-B,1912–1926 (Japanese Taisho period),1912–1926 рр. (японський період Тайсьо /Тайшьо),3MPB
3MPB-JP-D,1926–1945 (Japanese pre-war Showa period),1926–1945 рр. (японський довоєнний період Шоу),3MPB
3MPB-KR-S,c 1910 to c 1945 (Korean Japanese colonial period),c 1910 to c 1945 (Korean Japanese colonial period),3MPB
3MPB-US-H,c 1890 to c 1929 (Progressive Era in the USA),з 1890 до 1929 рр. (Прогресивна ера в США),3MPB
3MPQ,Later 20th century c 1950 to c 1999,"Кінець ХХ ст., з 1950 до 1999 рр.",3MP
3MPQM,c 1950 to c 1959,з 1950 до 1959 рр.,3MPQ
3MPQM-US-N,1950–1953 (Korean War period),1950–1953 рр. (період війни в Кореї),3MPQM
3MPQS,c 1960 to c 1969,з 1960 до 1969 рр.,3MPQ
3MPQS-CA-Q,1960 to c 1968 (period of the Quiet Revolution in Quebec),з 1960 до 1968 рр. (період Тихої революції в Квебеку),3MPQS
3MPQS-DE-K,1968 (period of Protests of ’68),1968 р. (період протестів ’68),3MPQS
3MPQS-US-P,c 1954 to c 1968 (era of the American Civil Rights Movement),з 1954 до 1968 рр. (епоха Американського руху за громадянські права),3MPQS
3MPQS-US-Q,c 1955 to c 1975 (Vietnam War period),з 1955 до1975рр. (період війни у ​​В’єтнамі),3MPQS
3MPQV,c 1970 to c 1979,з 1970 до 1979 рр.,3MPQ
3MPQV-AR-C,1976–1983 (period of Military dictatorship in Argentina),1976–1983 рр. (період військової диктатури в Аргентині),3MPQV
3MPQV-DE-L,1977 (period of the German Autumn / Deutscher Herbst),1977 р. (період «Німецької осені»),3MPQV
3MPQV-IT-W,1969–1980 (period of protest and ‘Anni di Piombo’ in Italy),1969–1980 рр. (період протесту та «Анні ді Піомбо» в Італії),3MPQV
3MPQX,c 1980 to c 1989,з 1980 до 1989 рр.,3MPQ
3MPQX-XA-B,c 1985 to c 1996 (Period of end of Cold War / End of the USSR),c 1985 to c 1996 (Period of end of Cold War / End of the USSR),3MPQX
3MPQZ,c 1990 to c 1999,з 1990 до 1999 рр.,3MPQ
3MPQZ-IT-X,1990–1999 (period of the crisis of the Nineties and so-called Second Republic in Italy),1990–1999 рр. (період кризи 90-х і так званої Другої республіки в Італії),3MPQZ
3MPQ-DE-J,c 1945 to c 1990 (the Cold War period),з 1945 до 1990 рр. (період «Холодної війни»),3MPQ
3MPQ-ES-A,c 1940 to 1975 (period of Franco’s dictatorship),з 1940 до 1975 рр. (період диктатури Франко),3MPQ
3MPQ-ES-B,1975 to c 1982 (period of Spanish Democratic transition),з 1975 до 1982 рр. (період демократичного переходу в Іспанії),3MPQ
3MPQ-ES-C,c 1982 to present (Spanish democratic period),з 1982 р. по теперішній час (демократичний період в Іспанії),3MPQ
3MPQ-IE-T,c 1968 to c 1999 (period of The Troubles in Northern Ireland),з 1968 до 1999 рр. (період «Смути» у Північній Ірландії),3MPQ
3MPQ-IT-V,"c 1950 to c 1968 (period of reconstruction, economic miracle, social and political transformations in Italy)","з 1950 до 1968 рр. (період відновлення, економічного дива, соціальних та політичних перетворень в Італії)",3MPQ
3MPQ-JP-B,1945–1989 (Japanese post-war Showa period),1945–1989 рр. (японський післявоєнний період Шоу),3MPQ
3MPQ-PA-A,1968–1989 (period of the Panamanian Military Dictatorship),1968–1989 рр. (період Панамської військової диктатури),3MPQ
3MPQ-PL-A,1947–1989 (period of the Polish People’s Republic),1947–1989 (період Польської Народної Республіки),3MPQ
3MP-AA-E,c 1882 to present (Modern Egyptian period),з 1882 р. по теперішній час (сучасний єгипетський період),3MP
3MP-JP-S,1926–1989 (Japanese Showa period),1926–1989 рр. (японський період Шоу),3MP
3MP-PA-B,1903–1968 (the Panamanian republican period),1903–1968 рр. (панамський республіканський період),3MP
3MP-SE-A,c 1930 to 1965 (period of Swedish ‘Folkhemmet’),з 1930 до 1965 рр. (період шведського «Будинок для народу»),3MP
3MR,"21st century, c 2000 to c 2100","ХХІ ст., з 2000 до 2100 рр.",3M
3MRB,Early 21st century c 2000 to c 2050,"Початок ХХІ ст., з 2000 до 2050 рр.",3MR
3MRBA,c 2000 to c 2009,з 2000 до 2009 рр.,3MRB
3MRBA-XA-B,c 2000 to c 2007 (Period of the Colour Revolutions),c 2000 to c 2007 (Period of the Colour Revolutions),3MRBA
3MRBF,c 2010 to c 2019,з 2010 до 2019 рр.,3MRB
3MRBF-XA-B,c 2010 to c 2014 (Period of the Spring Revolutions),c 2010 to c 2014 (Period of the Spring Revolutions),3MRBF
3MRBH,c 2020 to c 2029,з 2020 до 2029 рр.,3MRB
3MRBJ,c 2030 to c 2039,з 2030 до 2039рр.,3MRB
3MRBL,c 2040 to c 2049,з 2040 до 2049рр.,3MRB
3MRB-JP-D,1989 to 2019 (Japanese Heisei period),з 1989 до 2019 рр. (японський період Хейсей),3MRB
3MRB-JP-R,2019 onwards (Japanese Reiwa period),2019 р. і далі (японський період Рейва),3MRB
3MRQ,Later 21st century c 2050 to c 2099,Later 21st century c 2050 to c 2099,3MR
3MRQA,c 2050 to c 2059,c 2050 to c 2059,3MRQ
3MRQF,c 2060 to c 2069,c 2060 to c 2069,3MRQ
3MRQH,c 2070 to c 2079,c 2070 to c 2079,3MRQ
3MRQJ,c 2080 to c 2089,c 2080 to c 2089,3MRQ
3MRQL,c 2090 to c 2099,c 2090 to c 2099,3MRQ
3M-AA-E,c 1517 to c 1914 (Early Modern Egyptian period),з 1517 до 1914 рр. (Ранній Новий Єгипет),3M
3M-ES-A,c 1492 to c 1808 (Spanish Early Modern period),з 1492 до 1808 рр. (період раннього Нового часу в Іспанії),3M
3M-ES-AB,c 1492 to c 1690 (Spanish Golden Age or ‘Siglo de oro’),"з 1492 до 1690 рр. (Золотий Вік, Іспанія)",3M-ES-A
3M-JP-E,c 1600 to 1867 (Japanese Edo period),з 1600 до 1867 рр. (японський період Едо),3M
3M-KR-T,c 1392 to 1910 (Korean Joseon dynasty period),c 1392 to 1910 (Korean Joseon dynasty period),3M
3P,c 2100 onwards,c 2100 onwards,3
3PH,c 2100 to c 2500,c 2100 to c 2500,3P
3PHK,"22nd century, c 2100 to 2199","22nd century, c 2100 to 2199",3PH
3PHN,"23rd century, c 2200 to 2299","23rd century, c 2200 to 2299",3PH
3PHW,"24th century, c 2300 to 2399","24th century, c 2300 to 2399",3PH
3PHY,"25th century, c 2400 to 2499","25th century, c 2400 to 2499",3PH
3PL,c 2500 to c 3000,c 2500 to c 3000,3P
4,Educational purpose qualifiers,Визначники освітніх властивостей/ Визначники властивостей для освіти,
4C,For all educational levels,Всі освітні рівні,4
4CA,For pre-school learning,Дошкільне навчання,4C
4CD,For primary education,Початкова освіта,4C
4CF,For middle / preparatory school education,Середня / підготовча школа,4C
4CL,For secondary education,Середня освіта,4C
4CN,For advanced / upper secondary education,Поглиблена середня освіта,4C
4CP,For vocational / professional education / training,Професійна освіта / навчання,4C
4CPC,For vocational / professional certification / qualifications,Професійна кваліфікація/ професійна сертифікація,4CP
4CPF,For official government / civil service exams / qualifications,Офіційні державні кваліфікації/ державні іспити,4CP
4CPG,"For Recruitment, Professional Aptitude or Reasoning tests","Для набору на роботу, професійні здібності або тести на міркування",4CP
4CPK,For tests of general knowledge or culture,Тести загальних знань або культури,4CP
4CQ,For bridging courses / education,For bridging courses / education,4C
4CT,For higher / tertiary / university education,Вища /середня/ університетська освіта,4C
4CTB,For undergraduate education and equivalents,Бакалаврська освіта або еквівалент,4CT
4CTM,For graduate / post-graduate and equivalents,Для випускників/ аспірантів та еквівалентів,4CT
4CX,For adult education,Освіта дорослих,4C
4CXB,For adult education: beginners levels,Освіта дорослих: рівень для початківців,4CX
4CXF,For adult education: intermediary levels,Освіта дорослих: середній рівень,4CX
4CXL,For adult education: advanced levels,Освіта дорослих: поглиблений рівень,4CX
4G,For international curricula and examinations,Міжнародні навчальні плани та іспити,4
4GA,For International Baccalaureate (IB) pre-diploma level programmes,"Міжнародний бакалаврат (IB), програми додипломного рівня",4G
4GAJ,For International Baccalaureate (IB) Primary Years programme (PYP),Міжнародний бакалаврат (IB).Програма для початкового курсу,4GA
4GAS,For International Baccalaureate (IB) Middle Years programme,Міжнародний бакалаврат (IB). Програма для середнього курсу,4GA
4GB,For International Baccalaureate (IB) Diploma,Міжнародний бакалаврат (IB). Диплом,4G
4GC,For International Baccalaureate (IB) Career-related Certificate,"Міжнародний бакалаврат (IB). Сертифікат, що стосується кар’єри",4G
4GH,For International GCSE (IGCSE),Міжнародна кваліфікація GCSE (IGCSE),4G
4GJ,For International AS / A level,Міжнародний рівень AS / A,4G
4GT,For IAC International Early Years Curriculum (IEYC) & International Primary Curriculum (IPC),For IAC International Early Years Curriculum (IEYC) & International Primary Curriculum (IPC),4G
4L,For language learning courses and examinations,Курси вивчення мови та іспитів,4
4LB,For language proficiency tests / exams,Тести / іспити на знання мови,4L
4LC,For TELC Language tests,Мовні тести TELC,4L
4LE,"For ELT / ESL learning, courses, examinations and certificates","Вивчення ELT / ESL, курсів, іспитів та сертифікати",4L
4LEA,Cambridge English Exams,Іспити з англійської мови у Кеймбриджі,4LE
4LEC,International English Language Testing System (IELTS),Міжнародна система тестування англійської мови (IELTS),4LE
4LEF,Test of English as a Foreign Language (TOEFL),Тест з англійської мови як іноземної (TOEFL),4LE
4LEH,Test of English for International Communication (TOEIC),Тест з англійської мови для міжнародного спілкування (TOEIC),4LE
4LEP,ELT: Exams and tests of English for specific purposes,ELT: Іспити та тести з англійської мови для конкретної мети,4LE
4LZ,"For specific language learning, courses, examinations and certificates other than ELT / ESL","Для спеціального вивчення мови, курсів, іспитів та сертифікатів, крім ELT / ESL",4L
4LZ-ES-D,Diplomas of Spanish as a foreign or second language,Дипломи іспанської мови як іноземної або другої мови,4LZ
4LZ-FR-D,Diplomas of French as a foreign or second language,Дипломи французької мови як іноземної або другої мови,4LZ
4LZ-IT-H,Certification of Italian language learning,Сертифікати вивчення італійської мови,4LZ
4LZ-IT-HB,For Italian language learning: CELI Certificate,Для вивчення італійської мови: сертифікат CELI,4LZ-IT-H
4LZ-IT-HD,For Italian language learning: CIC Certificate,Для вивчення італійської мови: сертифікат CIC,4LZ-IT-H
4LZ-IT-HF,For Italian language learning: PLIDA Certificate,Для вивчення італійської мови: сертифікат PLIDA,4LZ-IT-H
4LZ-IT-HH,For Italian language learning: CILS Certificate,Для вивчення італійської мови: сертифікат CILS,4LZ-IT-H
4LZ-KR-K,For Korean language Proficiency tests and exams,For Korean language Proficiency tests and exams,4LZ
4T,For specific educational purposes,Для конкретної навчальної мети,4
4TC,"Textbook, coursework","Підручник, курсова робота",4T
4TD,For Teachers / Educators / Instructors classroom use,For Teachers / Educators / Instructors classroom use,4T
4TE,Content specifically adapted for guided classroom use,Content specifically adapted for guided classroom use,4T
4TG,Content suitable for classroom use but not specifically created for educational purposes,Content suitable for classroom use but not specifically created for educational purposes,4T
4TM,Revision and study guide,Повторення (репетиторство або методичні посібники) Навчальні посібники,4T
4TN,For examinations / tests / assessments,Для іспитів / контрольних робіт / тестів / оцінок,4T
4TNC,For citizenship exams / tests,Для іспитів / тестів на отримання громадянства,4TN
4TNH,For Entrance or Admissions exams / tests,Для вступних іспитів / тестів,4TN
4TP,Content and language integrated learning (CLIL),Комплексне навчання за змістом та мовою (CLIL),4T
4TQ,For Intercultural bilingual education (IBE),Для міжкультурної двомовної освіти (МШП),4T
4TR,For plurilingual or intercultural education,For plurilingual or intercultural education,4T
4TV,For supplementary education programmes (compensatory / complementary education),Для додаткових навчальних програм (корекційне / подальше навчання),4T
4TW,For specific learning difficulties,Освіта людей з особливими освітніми потребами,4T
4TY,For home learning / Self-study / autonomous learning,Для домашнього навчання / Самонавчання / автономне навчання,4T
4TYB,For home learning: beginner / introductory levels,Для домашнього навчання: рівень для початківців,4TY
4TYF,For home learning: intermediary levels,Для домашнього навчання: середній рівень,4TY
4TYL,For home learning: advanced levels,Для домашнього навчання: поглиблений рівень,4TY
4Z,For specific national or regional educational curricula,Для конкретних національних або регіональних навчальних програм,4
4Z-AA-,For educational curricula in the Arab world,Освітні (навчальні) програми в арабському світі,4Z
4Z-AA-E,For the educational curriculum of Egypt,Освітні програми Єгипту,4Z-AA-
4Z-AA-EA,For Al-Azhar Education System (Egypt),For Al-Azhar Education System (Egypt),4Z-AA-E
4Z-AR-,For the educational curriculum of Argentina,Освітні програми Аргентини,4Z
4Z-AR-A,For pre-school education (Argentina),For pre-school education (Argentina),4Z-AR-
4Z-AR-B,For primary education (Argentina),For primary education (Argentina),4Z-AR-
4Z-AR-BA,Primary Education 1st Cycle (Argentina),Primary Education 1st Cycle (Argentina),4Z-AR-B
4Z-AR-BC,Primary Education 2nd Cycle (Argentina),Primary Education 2nd Cycle (Argentina),4Z-AR-B
4Z-AR-BD,7th Grade Primary Education (Argentina),7th Grade Primary Education (Argentina),4Z-AR-B
4Z-AR-C,For secondary education (Argentina),For secondary education (Argentina),4Z-AR-
4Z-AR-CA,For basic secondary education (Argentina),For basic secondary education (Argentina),4Z-AR-C
4Z-AR-CB,For higher secondary education (Argentina),For higher secondary education (Argentina),4Z-AR-C
4Z-AR-CC,For technical secondary education (Argentina),For technical secondary education (Argentina),4Z-AR-C
4Z-AT-,For the educational curriculum of Austria,For the educational curriculum of Austria,4Z
4Z-AU-,For Educational curricula of Australia,Освітні програми Австралії,4Z
4Z-AU-A,For Early years education (Australia),For Early years education (Australia),4Z-AU-
4Z-AU-AA,For Pre-school education (Australia),For Pre-school education (Australia),4Z-AU-A
4Z-AU-AB,For Kindergarten education / Foundation Level (Australia),For Kindergarten education / Foundation Level (Australia),4Z-AU-A
4Z-AU-B,For Primary education (Australia),For Primary education (Australia),4Z-AU-
4Z-AU-BA,For Year 1 (Australia),For Year 1 (Australia),4Z-AU-B
4Z-AU-BB,For Year 2 (Australia),For Year 2 (Australia),4Z-AU-B
4Z-AU-BC,For Year 3 (Australia),For Year 3 (Australia),4Z-AU-B
4Z-AU-BD,For Year 4 (Australia),For Year 4 (Australia),4Z-AU-B
4Z-AU-BE,For Year 5 (Australia),For Year 5 (Australia),4Z-AU-B
4Z-AU-BF,For Year 6 (Australia),For Year 6 (Australia),4Z-AU-B
4Z-AU-C,For Secondary education (Australia),For Secondary education (Australia),4Z-AU-
4Z-AU-CA,For Year 7 (Australia),For Year 7 (Australia),4Z-AU-C
4Z-AU-CB,For Year 8 (Australia),For Year 8 (Australia),4Z-AU-C
4Z-AU-CC,For Year 9 (Australia),For Year 9 (Australia),4Z-AU-C
4Z-AU-CD,For Year 10 (Australia),For Year 10 (Australia),4Z-AU-C
4Z-AU-CE,For Year 11 (Australia),For Year 11 (Australia),4Z-AU-C
4Z-AU-CF,For Year 12 (Australia),For Year 12 (Australia),4Z-AU-C
4Z-AU-D,For Australian vocational and educational training (VET),For Australian vocational and educational training (VET),4Z-AU-
4Z-AU-H,For The Australian Curriculum,For The Australian Curriculum,4Z-AU-
4Z-AU-N,For New South Wales curriculum,For New South Wales curriculum,4Z-AU-
4Z-AU-NH,For the Higher School Certificate,For the Higher School Certificate,4Z-AU-N
4Z-AU-Q,For Queensland curriculum,For Queensland curriculum,4Z-AU-
4Z-AU-QH,For the Queensland Certificate of Education (QCE),For the Queensland Certificate of Education (QCE),4Z-AU-Q
4Z-AU-S,For South Australia curriculum,For South Australia curriculum,4Z-AU-
4Z-AU-SH,South Australian Certificate of Education (SACE),South Australian Certificate of Education (SACE),4Z-AU-S
4Z-AU-T,For Tasmanian curriculum,For Tasmanian curriculum,4Z-AU-
4Z-AU-TH,Tasmanian Certificate of Education (TCE),Tasmanian Certificate of Education (TCE),4Z-AU-T
4Z-AU-V,For Victoria curriculum,For Victoria curriculum,4Z-AU-
4Z-AU-VH,Victorian Certificate of Education (VCE),Victorian Certificate of Education (VCE),4Z-AU-V
4Z-AU-W,For Western Australia curriculum,For Western Australia curriculum,4Z-AU-
4Z-AU-WH,Western Australian Certificate of Education (WACE),Western Australian Certificate of Education (WACE),4Z-AU-W
4Z-AU-X,For the Northern Territories curriculum,For the Northern Territories curriculum,4Z-AU-
4Z-AU-XH,Northern Territory Certificate of Education (NTCE),Northern Territory Certificate of Education (NTCE),4Z-AU-X
4Z-AU-Y,For the Australian Capital Territory curriculum,For the Australian Capital Territory curriculum,4Z-AU-
4Z-AU-YH,For the Senior Secondary Certificate and Record of Achievement (ACT SSC),For the Senior Secondary Certificate and Record of Achievement (ACT SSC),4Z-AU-Y
4Z-BE-,For educational curricula of Belgium,Освітні програми Бельгії,4Z
4Z-BE-B,For the educational curriculum of the Flemish community (Belgium),For the educational curriculum of the Flemish community (Belgium),4Z-BE-
4Z-BE-BA,Pre-primary education (Flemish),Pre-primary education (Flemish),4Z-BE-B
4Z-BE-BB,Special Pre-primary education (Flemish),Special Pre-primary education (Flemish),4Z-BE-B
4Z-BE-BC,Primary education (Flemish),Primary education (Flemish),4Z-BE-B
4Z-BE-BD,Special Primary education (Flemish),Special Primary education (Flemish),4Z-BE-B
4Z-BE-BE,Secondary Education (Flemish),Secondary Education (Flemish),4Z-BE-B
4Z-BE-BEA,First cycle (years 1 and 2),First cycle (years 1 and 2),4Z-BE-BE
4Z-BE-BEAA,A-stream (BE),A-stream (BE),4Z-BE-BEA
4Z-BE-BEAB,B-stream (BE),B-stream (BE),4Z-BE-BEA
4Z-BE-BEB,Second cycle (years 3 and 4),Second cycle (years 3 and 4),4Z-BE-BE
4Z-BE-BEBA,Second cycle: General Secondary Education (ASO),Second cycle: General Secondary Education (ASO),4Z-BE-BEB
4Z-BE-BEBB,Second cycle: Vocational Secondary Education (BSO),Second cycle: Vocational Secondary Education (BSO),4Z-BE-BEB
4Z-BE-BEBC,Second cycle: Art Secondary Education (KSO),Second cycle: Art Secondary Education (KSO),4Z-BE-BEB
4Z-BE-BEBD,Second cycle: Technical Secondary Education (TSO),Second cycle: Technical Secondary Education (TSO),4Z-BE-BEB
4Z-BE-BEC,Third cycle (years 5 and 6),Third cycle (years 5 and 6),4Z-BE-BE
4Z-BE-BECA,Third cycle: General Secondary Education (ASO),Third cycle: General Secondary Education (ASO),4Z-BE-BEC
4Z-BE-BECB,Third cycle: Vocational Secondary Education (BSO),Third cycle: Vocational Secondary Education (BSO),4Z-BE-BEC
4Z-BE-BECC,Third cycle: Art Secondary Education (KSO),Third cycle: Art Secondary Education (KSO),4Z-BE-BEC
4Z-BE-BECD,Third cycle: Technical Secondary Education (TSO),Third cycle: Technical Secondary Education (TSO),4Z-BE-BEC
4Z-BE-BECE,Secondary-after-Secondary (Se-n-Se),Secondary-after-Secondary (Se-n-Se),4Z-BE-BEC
4Z-BE-D,For the educational curricula of the French community (Belgium),For the educational curricula of the French community (Belgium),4Z-BE-
4Z-BE-DA,Pre-primary education (French community BE),Pre-primary education (French community BE),4Z-BE-D
4Z-BE-DC,Primary education (French community BE),Primary education (French community BE),4Z-BE-D
4Z-BE-DE,Secondary Education (French community BE),Secondary Education (French community BE),4Z-BE-D
4Z-BE-H,For the educational curricula of the German-speaking community (Belgium),For the educational curricula of the German-speaking community (Belgium),4Z-BE-
4Z-BE-HA,Pre-primary education (German-speaking community BE),Pre-primary education (German-speaking community BE),4Z-BE-H
4Z-BE-HC,Primary education (German-speaking community BE),Primary education (German-speaking community BE),4Z-BE-H
4Z-BE-HE,Secondary Education (German-speaking community BE),Secondary Education (German-speaking community BE),4Z-BE-H
4Z-BO-,For the educational curriculum of Bolivia,Освітні програми Болівії,4Z
4Z-BR-,For the educational curriculum of Brazil,For the educational curriculum of Brazil,4Z
4Z-CA-,For educational curricula of Canada,Освітні програми Канади,4Z
4Z-CA-A,For Elementary Education (Canada),For Elementary Education (Canada),4Z-CA-
4Z-CA-C,For Secondary Education (Canada),For Secondary Education (Canada),4Z-CA-
4Z-CA-F,"For College, Pre-University Programs (Canada)","For College, Pre-University Programs (Canada)",4Z-CA-
4Z-CA-H,"For College, Technical Programs (Canada)","For College, Technical Programs (Canada)",4Z-CA-
4Z-CA-J,"For University, Bachelor’s Degree (Canada)","For University, Bachelor’s Degree (Canada)",4Z-CA-
4Z-CA-L,"For University, Master’s Degree (Canada)","For University, Master’s Degree (Canada)",4Z-CA-
4Z-CA-M,"For University, Doctorate (Canada)","For University, Doctorate (Canada)",4Z-CA-
4Z-CA-Q,For educational curricula of Quebec,For educational curricula of Quebec,4Z-CA-
4Z-CA-QA,Quebec: for Elementary education,Quebec: for Elementary education,4Z-CA-Q
4Z-CA-QC,Quebec: for Secondary education,Quebec: for Secondary education,4Z-CA-Q
4Z-CA-QF,Quebec: CEGEP pre-university programme,Quebec: CEGEP pre-university programme,4Z-CA-Q
4Z-CA-QH,Quebec: CEGEP technical programme,Quebec: CEGEP technical programme,4Z-CA-Q
4Z-CA-QJ,Quebec: for university Bachelor’s degree,Quebec: for university Bachelor’s degree,4Z-CA-Q
4Z-CA-QK,Quebec: for university Master’s degree,Quebec: for university Master’s degree,4Z-CA-Q
4Z-CA-QL,Quebec: for university Doctorate,Quebec: for university Doctorate,4Z-CA-Q
4Z-CB-,For educational curricula in the Caribbean,Освітні програми країн Карибського басейну,4Z
4Z-CB-C,For Caribbean Examinations Council (CXC),For Caribbean Examinations Council (CXC),4Z-CB-
4Z-CB-CB,For Caribbean Primary Exit Assessment (CPEA),For Caribbean Primary Exit Assessment (CPEA),4Z-CB-C
4Z-CB-CD,For Caribbean Secondary Education Certificate (CSEC),For Caribbean Secondary Education Certificate (CSEC),4Z-CB-C
4Z-CB-CF,For Caribbean Advanced Proficiency Examinations (CAPE),For Caribbean Advanced Proficiency Examinations (CAPE),4Z-CB-C
4Z-CB-CS,For Caribbean Certificate of Secondary Level Competence (CCSLC),For Caribbean Certificate of Secondary Level Competence (CCSLC),4Z-CB-C
4Z-CB-CV,For Caribbean Vocational Qualification (CVQ),For Caribbean Vocational Qualification (CVQ),4Z-CB-C
4Z-CB-E,For the educational curricula of Organisation of Eastern Caribbean States (OECS) states,For the educational curricula of Organisation of Eastern Caribbean States (OECS) states,4Z-CB-
4Z-CH-,For the educational curriculum of Switzerland,For the educational curriculum of Switzerland,4Z
4Z-CL-,For the educational curriculum of Chile,Освітні програми Чилі,4Z
4Z-CO-,For the educational curriculum of Colombia,Освітні програми Колумбії,4Z
4Z-CO-A,Initial education – Pre-jardín and Jardín (Colombia),Initial education – Pre-jardín and Jardín (Colombia),4Z-CO-
4Z-CO-B,Preschool education – Transición (Colombia),Preschool education – Transición (Colombia),4Z-CO-
4Z-CO-C,Basic Education – Primary and Secondary (Colombia),Basic Education – Primary and Secondary (Colombia),4Z-CO-
4Z-CO-D,Middle Education – Tenth and Eleventh Grades (Colombia),Middle Education – Tenth and Eleventh Grades (Colombia),4Z-CO-
4Z-CO-E,Higher Education (Colombia),Higher Education (Colombia),4Z-CO-
4Z-CR-,For the educational curriculum of Costa Rica,Освітні програми Коста-Рики,4Z
4Z-CU-,For the educational curriculum of Cuba,Освітні програми Куби,4Z
4Z-CZ-,For the educational curriculum of Czechia / Czech Republic,For the educational curriculum of Czechia / Czech Republic,4Z
4Z-DE-,For educational curricula of Germany,Освітні програми Німеччини,4Z
4Z-DE-A,For pre-school learning (Germany),For pre-school learning (Germany),4Z-DE-
4Z-DE-B,For primary education (Germany),For primary education (Germany),4Z-DE-
4Z-DE-BA,For German elementary school,For German elementary school,4Z-DE-B
4Z-DE-C,For German common school,For German common school,4Z-DE-
4Z-DE-D,For secondary education (Germany),For secondary education (Germany),4Z-DE-
4Z-DE-DA,For German academic high school add on education,For German academic high school add on education,4Z-DE-D
4Z-DE-DAB,For German integrated secondary school,For German integrated secondary school,4Z-DE-DA
4Z-DE-DAD,For German cooperative comprehensive school,For German cooperative comprehensive school,4Z-DE-DA
4Z-DE-DAE,For German laboratory school,For German laboratory school,4Z-DE-DA
4Z-DE-DAF,For German intermediate school,For German intermediate school,4Z-DE-DA
4Z-DE-DAG,For German pre-intermediate school,For German pre-intermediate school,4Z-DE-DA
4Z-DE-DAH,For German ten-class secondary school,For German ten-class secondary school,4Z-DE-DA
4Z-DE-DAJ,For German upper school college,For German upper school college,4Z-DE-DA
4Z-DE-DAK,For German junior high school,For German junior high school,4Z-DE-DA
4Z-DE-DAL,For German combined middle and secondary school,For German combined middle and secondary school,4Z-DE-DA
4Z-DE-DB,For German middle school add on education,For German middle school add on education,4Z-DE-D
4Z-DE-DBA,For German regular school,For German regular school,4Z-DE-DB
4Z-DE-DBB,For German regional school,For German regional school,4Z-DE-DB
4Z-DE-DBC,For German orientation classes,For German orientation classes,4Z-DE-DB
4Z-DE-DBD,For German schools of a special kind,For German schools of a special kind,4Z-DE-DB
4Z-DE-DBE,For German secondary school,For German secondary school,4Z-DE-DB
4Z-DE-DBF,For German municipality school,For German municipality school,4Z-DE-DB
4Z-DE-DBG,For German craft related junior high or main school,For German craft related junior high or main school,4Z-DE-DB
4Z-DE-DC,For German comprehensive school,For German comprehensive school,4Z-DE-D
4Z-DE-DD,For German academic high school,For German academic high school,4Z-DE-D
4Z-DE-DDA,For German academic high school – eight year,For German academic high school – eight year,4Z-DE-DD
4Z-DE-DDB,For German academic high school – nine year,For German academic high school – nine year,4Z-DE-DD
4Z-DE-DJ,For German general school,For German general school,4Z-DE-D
4Z-DE-DL,For German integrated comprehensive school,For German integrated comprehensive school,4Z-DE-D
4Z-DE-F,For vocational education (Germany),For vocational education (Germany),4Z-DE-
4Z-DE-FA,For German vocational high school,For German vocational high school,4Z-DE-F
4Z-DE-FAB,"For German vocational professional school, two-year course","For German vocational professional school, two-year course",4Z-DE-FA
4Z-DE-FAD,For occupational training one year basic course or for German vocational elementary school,For occupational training one year basic course or for German vocational elementary school,4Z-DE-FA
4Z-DE-FAF,For German vocational college,For German vocational college,4Z-DE-FA
4Z-DE-FAH,For German vocational secondary school,For German vocational secondary school,4Z-DE-FA
4Z-DE-FAJ,For German vocational professional school qualifying for a certain profession,For German vocational professional school qualifying for a certain profession,4Z-DE-FA
4Z-DE-FAL,For German vocational school,For German vocational school,4Z-DE-FA
4Z-DE-FAM,For German preliminary vocational training,For German preliminary vocational training,4Z-DE-FA
4Z-DE-FAN,For German build-up year for vocational training,For German build-up year for vocational training,4Z-DE-FA
4Z-DE-FAP,For German courses of education – with double qualifications,For German courses of education – with double qualifications,4Z-DE-FA
4Z-DE-FB,For German vocational upper secondary school,For German vocational upper secondary school,4Z-DE-F
4Z-DE-FBB,For German dual vocational school,For German dual vocational school,4Z-DE-FB
4Z-DE-FBD,For German professional academy,For German professional academy,4Z-DE-FB
4Z-DE-FBF,For German professional high school,For German professional high school,4Z-DE-FB
4Z-DE-FBH,For German university of applied sciences,For German university of applied sciences,4Z-DE-FB
4Z-DE-FBJ,For German specialist classes of the dual system of vocational training,For German specialist classes of the dual system of vocational training,4Z-DE-FB
4Z-DE-FBL,For German upper secondary vocational school,For German upper secondary vocational school,4Z-DE-FB
4Z-DE-FBM,For German secondary vocational school,For German secondary vocational school,4Z-DE-FB
4Z-DE-FBN,For German upper secondary professional school,For German upper secondary professional school,4Z-DE-FB
